Name,Perm Id,Ric,STS,Tanker Zone,Type
ABP Ipswich Cliff Quay Container Terminal,77309540786,C}TS7309540786,0,N/A,BERTH
ABP Ipswich Westbank Container Terminal,77309540785,C}TS7309540785,0,N/A,BERTH
Abrolhos Isl,77309535529,C}TS7309535529,0,Recife,PORT
ABT 209 - Antwerp Bulk Terminal / Leopold Dock,77309540568,C}TS7309540568,0,N/A,BERTH
ABT 750 - Antwerp Bulk Terminal / Delwaidedock,77309540570,C}TS7309540570,0,N/A,BERTH
ABT Berth (Baton Rouge),77309838544,C}TS7309838544,0,N/A,BERTH
Abu Dhabi,77309534811,C}TS7309534811,0,Arabian Gulf,PORT
Abu Dhabi Terminals - Mina Zayed,77309541264,C}TS7309541264,0,N/A,BERTH
Abu Kammash,77309533551,C}TS7309533551,0,Malta,PORT
Abu Kammash - Tanker Jetty,77309557335,C}TS7309557335,0,N/A,BERTH
Abu Marine Terminal,77309564396,C}TS7309564396,0,Singapore,PORT
Abu Qir,77309539220,C}TS7309539220,0,East Med,PORT
Abu Qir Offshore Ammonia Terminal,77309833978,C}TS7309833978,0,N/A,BERTH
Abu Zenima,77309531884,C}TS7309531884,0,Suez Canal,PORT
Aburatsu,77309535534,C}TS7309535534,0,Japan,PORT
ACA Grain Elevator,77309542035,C}TS7309542035,0,N/A,BERTH
ACA Terminal (Necochea),77309879579,C}TS7309879579,0,N/A,BERTH
Acajutla,77309534799,C}TS7309534799,0,Panama,PORT
Acajutla Offshore Terminal,77309533425,C}TS7309533425,0,Panama,PORT
Acapulco,77309532956,C}TS7309532956,0,W Mexico,PORT
ACBL 809 Transfer Station (Arroyo Seco),77309879555,C}TS7309879555,0,N/A,BERTH
Acciaierie di Cornigliano,77309540210,C}TS7309540210,0,N/A,BERTH
Accra,77309535536,C}TS7309535536,0,West Africa,PORT
Aceitera Vicentin Oilseeds and Grain Terminal,77309542036,C}TS7309542036,0,N/A,BERTH
Acevedo,77309535537,C}TS7309535537,0,Buenos Aires,PORT
Achladi,77309533276,C}TS7309533276,0,Greece,PORT
Achladi Agrobulk Terminal,77309541950,C}TS7309541950,0,N/A,BERTH
Acindar Steel Workls,77309539340,C}TS7309539340,0,N/A,BERTH
Acu,77309538978,C}TS7309538978,0,Rio de Janeiro,PORT
Acu Oil and STS Terminal,77309864239,C}TS7309864239,1,N/A,BERTH
Acu STS (test),77309864238,C}TS7309864238,1,N/A,BERTH
Acucar GRL Sugar Terminal,77309541887,C}TS7309541887,0,N/A,BERTH
Adabiya,77309539228,C}TS7309539228,0,Suez Canal,PORT
Adamas Bay (Milos) Roro Passenger Ferry Pier,77309539263,C}TS7309539263,0,N/A,BERTH
Adang Bay Loading Anchorage,77309538244,C}TS7309538244,0,Lawi-Lawi Terminal,PORT
Adani Abbot Port Coal Terminal,77309540182,C}TS7309540182,0,N/A,BERTH
Adani Hazira Port,77309541218,C}TS7309541218,0,N/A,BERTH
Adani Mormugao Terminal,77309773083,C}TS7309773083,0,N/A,BERTH
Adani Petronet Terminal (Dahej),77309773080,C}TS7309773080,0,N/A,BERTH
Adani Vizag Coal Terminal,77309773086,C}TS7309773086,0,N/A,BERTH
ADCO Fujairah SPM 1,77309708585,C}TS7309708585,0,N/A,BERTH
ADCO Fujairah SPM 2,77309708586,C}TS7309708586,0,N/A,BERTH
ADCO Fujairah SPM 3,77309708587,C}TS7309708587,0,N/A,BERTH
Adelaide,77309532023,C}TS7309532023,0,Adelaide,PORT
Adelaide Brighton Cement Works,77309540191,C}TS7309540191,0,N/A,BERTH
Adelaide Container Terminal,77309541361,C}TS7309541361,0,N/A,BERTH
Adelaide Grain Berth,77309779281,C}TS7309779281,0,N/A,BERTH
Adelaide Inner Harbour Berths 18-20,77309759565,C}TS7309759565,0,N/A,BERTH
Aden,77309533008,C}TS7309533008,0,Aden,PORT
Aden Anchorage,77309542380,C}TS7309542380,0,N/A,ANCHORAGE
Aden Container Terminal,77309541741,C}TS7309541741,0,N/A,BERTH
Aden Silo and Mills Berth,77309539386,C}TS7309539386,0,N/A,BERTH
Adlam Terminal,77309539697,C}TS7309539697,0,N/A,BERTH
ADM Agro (Piedrabuena) Terminal (Puerto Ingeniero White),77309824010,C}TS7309824010,0,N/A,BERTH
ADM Agro (Topfer) Grain Pier (Arroyo Seco),77309542040,C}TS7309542040,0,N/A,BERTH
ADM Agro (Topfer) Grain Pier (San Martin),77309542033,C}TS7309542033,0,N/A,BERTH
ADM Ama Grain Terminal,77309540400,C}TS7309540400,0,N/A,BERTH
ADM Europoort Berth,77309850907,C}TS7309850907,0,N/A,BERTH
ADM Galveston Grain Elevator Berths 30-32 (Galveston),77309838468,C}TS7309838468,0,N/A,BERTH
ADM Grain Elevator,77309540087,C}TS7309540087,0,N/A,BERTH
ADM Grain Tml (Toledo),77309929022,C}TS7309929022,0,N/A,BERTH
ADM Grain Tml (Windsor),77309929013,C}TS7309929013,0,N/A,BERTH
ADM Hamburg-Oelmuehle - Drybulk Berth,77309540522,C}TS7309540522,0,N/A,BERTH
ADM Hamburg-Oelmuehle - Tank Berth,77309540521,C}TS7309540521,0,N/A,BERTH
ADM Paulina Grain Terminal,77309540409,C}TS7309540409,0,N/A,BERTH
ADM Reserve Grain Terminal,77309540412,C}TS7309540412,0,N/A,BERTH
